执行建议序号,机会优先级,机会类型,院校代码,院校名称OCR,高校侧刷新批次,高校侧刷新任务类型,官网辅证自动动作,官网证据强度,官网来源状态,来源文件类型集合,公开来源文件数量,公开来源URL数量,涉及招生明细数,计划数冲突行数,官网补缺候选行数,强辅证抽检行数,部分来源待结构化行数,继续补源行数,官网未匹配行数,C4C6计划数一致候选数,C4C6官网可补OCR计划数候选数,C4C6计划数冲突候选数,最新自动探针状态,来源质量判断,自动化下一步,人工最小核验动作,保真边界,字段事实写回状态,下一步
1,P0-立即处理,O3-高收益缺源学校优先补源,C125,武汉轻工大学,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,41,0,0,0,0,41,0,0,0,0,no_seed_need_official_source_search,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
2,P0-立即处理,O3-高收益缺源学校优先补源,F582,长春工业大学,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,41,0,0,0,0,41,0,0,0,0,no_seed_need_official_source_search,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
3,P0-立即处理,O3-高收益缺源学校优先补源,C133,湖北师范大学,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,36,0,0,0,0,36,0,0,0,0,no_seed_need_official_source_search,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
4,P0-立即处理,O0-冲突优先回页核验,C108,江汉大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,53,0,0,0,53,0,0,40,0,1,,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
5,P0-立即处理,O3-高收益缺源学校优先补源,H026,浙江传媒学院,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,22,0,0,0,0,22,0,0,0,0,no_seed_need_official_source_search,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
6,P0-立即处理,O0-冲突优先回页核验,A197,西北民族大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_reusable_2026_hubei_plan_source,未留存来源文件,0,1,27,0,0,0,27,0,0,19,3,4,,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
7,P0-立即处理,O1-官网补缺候选回页核验,K486,西安邮电大学,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,API/JSON,1,1,19,0,19,0,0,0,0,0,0,0,,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
8,P0-立即处理,O0-冲突优先回页核验,H945,南宁学院,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,15,0,0,0,15,0,0,0,8,7,,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
9,P0-立即处理,O0-冲突优先回页核验,K465,西安建筑科技大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,18,0,0,0,18,0,0,9,7,1,,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
10,P0-立即处理,O0-冲突优先回页核验,K753,喀什大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,17,0,0,0,17,0,0,8,3,2,,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
11,P0-立即处理,O0-冲突优先回页核验,H450,山东工商学院,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,19,0,0,0,19,0,0,5,1,2,,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
12,P0-立即处理,O0-冲突优先回页核验,A032,北京语言大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,11,0,0,0,11,0,0,3,2,5,structured_source_retained_parser_or_match_rule_needed,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,人工只核 C6 未匹配行、计划数冲突行和新增源命中抽检。；先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
13,P0-立即处理,O0-冲突优先回页核验,F902,江苏理工学院,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,结构化CSV,1,1,10,10,0,0,0,0,0,0,0,0,,Q6-来源质量待补充,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
14,P0-立即处理,O3-高收益缺源学校优先补源,K179,成都师范学院,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,6,0,0,0,0,6,0,0,0,0,no_seed_need_official_source_search,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
15,P0-立即处理,O3-高收益缺源学校优先补源,K487,西安航空学院,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,6,0,0,0,0,6,0,0,0,0,no_seed_need_official_source_search,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
16,P0-立即处理,O1-官网补缺候选回页核验,H450,山东工商学院,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,结构化CSV,1,1,10,0,10,0,0,0,0,0,0,0,,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
17,P0-立即处理,O3-高收益缺源学校优先补源,H775,韶关学院,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,5,0,0,0,0,5,0,0,0,0,no_seed_need_official_source_search,Q3-已有自动探针边界记录,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。,若学校进入最终候选而官网源未取得，必须回第19期原页/官方系统人工核验。；优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,优先全网检索高校官网2026湖北物理本科普通批计划；若无计划页，至少留存章程规则。
18,P0-立即处理,O1-官网补缺候选回页核验,A033,中国传媒大学,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,API/JSON,1,1,8,0,8,0,0,0,0,0,0,0,,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
19,P0-立即处理,O2-官网专业名未匹配先补规则,C108,江汉大学,S1-专业名匹配人工确认,官网专业名未匹配人工确认,C7-官网源未匹配专业需人工确认专业名,unmatched,has_partial_source_needs_followup,部分来源待结构化,0,1,12,0,0,0,0,0,12,0,0,0,,Q6-来源质量待补充,先补专业名匹配规则或人工确认专业名，再判断计划数字段。,人工比对专业名称限定词、专业代码和同页上下文，再回PDF原页和湖北官方侧确认是否同一专业。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先补专业名匹配规则或人工确认专业名，再判断计划数字段。
20,P0-立即处理,O0-冲突优先回页核验,H001,杭州电子科技大学,S2-高校官网来源结构化刷新,已有来源补结构化或补湖北物理行,C4-已有部分来源需补结构化或补湖北行,partial_source,has_partial_source_needs_followup,部分来源待结构化,0,1,9,0,0,0,9,0,0,6,1,1,,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,先从高校官网入口补湖北2026物理普通批来源，再回PDF原页和湖北官方侧确认。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
21,P0-立即处理,O1-官网补缺候选回页核验,A195,兰州大学,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,API/JSON,1,1,7,0,7,0,0,0,0,0,0,0,,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
22,P0-立即处理,O1-官网补缺候选回页核验,F305,忻州师范学院,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,结构化CSV,1,1,4,0,4,0,0,0,0,0,0,0,,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
23,P0-立即处理,O1-官网补缺候选回页核验,K153,成都信息工程大学,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,HTML,1,1,4,0,4,0,0,0,0,0,0,0,,Q6-来源质量待补充,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页补计划数缺口，高校源只作候选读数线索。
24,P0-立即处理,O0-冲突优先回页核验,H002,浙江工业大学,S4-继续补高校官网计划源,继续搜索高校官网2026湖北计划,C6-继续搜索高校官网2026湖北计划源,needs_source,needs_official_plan_source_search,待补官网2026湖北计划源,0,0,4,0,0,0,0,4,0,2,0,1,,Q0-有结构化源但存在计划数冲突,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,优先查高校招生网/API/XLSX/PDF/图片计划；无法取得时记录补源失败和搜索证据，最终仍等湖北官方侧。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
25,P0-立即处理,O0-冲突优先回页核验,H945,南宁学院,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,HTML,1,1,3,3,0,0,0,0,0,0,0,0,,Q6-来源质量待补充,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。,高校官网/API/PDF/XLSX/章程只作double-check、补缺候选、冲突发现和规则核验，不能替代第19期原页、湖北官方系统或省招办计划。,blocked_until_pdf_hubei_official_review,先回第19期PDF原页和湖北官方侧核计划数冲突，再用高校源解释差异。
