执行序号,核验包编号,页码版面键,院校代码,院校名称,院校专业组代码,专业代号,专业名称短摘,字段范围,任务来源类型,公开冲突桶,候选提示桶,PDFOCR提示状态,机器坐标提示状态,高校辅证线索,是否需要双人复核,是否需要人工看图,PDF原页记录状态,湖北官方记录状态,高校辅证记录状态,三方一致性状态,字段写回状态,下一步核验动作,完成条件,专业行ID,第一闭环任务ID
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,03,机械电子工程,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-dc3b57515c994b61,FIRSTDETAIL-9008da4b792e2d9c
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,04,过程装备与控制工程,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-4b0ca5231b5e0dda,FIRSTDETAIL-0dada9bf9ecaa6e1
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,05,通信工程,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-af973281700f5eb7,FIRSTDETAIL-0e930ca33ab1b3b9
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,06,电气工程及其自动化,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-78343e2534bdcb7c,FIRSTDETAIL-726fddd63013332a
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,07,自动化,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-e169ec05a319416b,FIRSTDETAIL-9d2efbd617a42fa2
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,08,软件工程,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-7af5985c525e29ba,FIRSTDETAIL-28da3744d1bbd3b1
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,09,数据科学与大数据技术,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-e61c577465bca697,FIRSTDETAIL-d3b4542d9cf04623
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,10,数字媒体技术,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-bf093921a5df7b57,FIRSTDETAIL-c38ee9bcbc39ce19
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,11,储能科学与工程,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-cf6e2346e326fb75,FIRSTDETAIL-202127380ebfe86a
1,FCACT-21bf5d03c4063f0e,135-left,F902,江苏理工学院,F90202,12,功能材料,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-4c1c9015c9d9aef3,FIRSTDETAIL-98835066fcfb9b8c
2,FCACT-56baf683f0f6fdff,199-left,H945,南宁学院,H94505,22,物联网工程,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-c0e205bf9e212204,FIRSTDETAIL-393dba8354b77b5e
2,FCACT-56baf683f0f6fdff,199-left,H945,南宁学院,H94505,24,数字媒体技术,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-428c631bc321e966,FIRSTDETAIL-93e1c6f08abff549
2,FCACT-56baf683f0f6fdff,199-left,H945,南宁学院,H94505,25,计算机科学与技术（不招单色不能识别考生）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-dc718284a7b7340c,FIRSTDETAIL-a54f685382d6b1c6
3,FCACT-98e004e61e02a658,209-right,K153,成都信息工程大学,K15306,24,机器人工程（办学地点：航空港校区）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-0aea883663b5fb39,FIRSTDETAIL-1c3252c859c2d2ea
3,FCACT-98e004e61e02a658,209-right,K153,成都信息工程大学,K15306,29,信息安全（办学地点：航空港校区）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-e2879b097d059aee,FIRSTDETAIL-ac9be6f84b5cb492
4,FCACT-9e1636bd047c2932,169-right,H450,山东工商学院,H45004,46,通信工程,专业计划数；学费,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-a8b31c9114605c03,FIRSTDETAIL-8991edc6731114ee
5,FCACT-a0b7af0eccf1ca11,018-left,A033,中国传媒大学,A03312,22,智能视听工程,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-84b7a37c3bcb4125,FIRSTDETAIL-ab6063ed0b37268b
5,FCACT-a0b7af0eccf1ca11,018-left,A033,中国传媒大学,A03312,25,数字媒体技术,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-1313bee178d7d0ee,FIRSTDETAIL-6e2d3b4c7f4c6ceb
5,FCACT-a0b7af0eccf1ca11,018-left,A033,中国传媒大学,A03313,26,数字媒体技术（游戏科学与技术方向）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-93d6111287b31e95,FIRSTDETAIL-8bf313b58dad8c1d
5,FCACT-a0b7af0eccf1ca11,018-left,A033,中国传媒大学,A03313,28,数据科学与大数据技术,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-f588b8040b4edb64,FIRSTDETAIL-0a008f059b306a64
6,FCACT-e97f31e1319cc045,037-left,A135,山东大学,A13506,25,工程软件（含“钱七虎学堂”）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-a85b56dac30243b2,FIRSTDETAIL-a19646da8920400b
7,FCACT-ab86b8954cd5cbac,137-right,H002,浙江工业大学,H00204,05,生木类（士木工程、给排水科学与工程；办学地点：朝晖校区）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-b0f0f795c8848022,FIRSTDETAIL-58197f021c0a83a3
9,FCACT-f3074c79a3cb6270,056-left,A195,兰州大学,A19511,35,计算机科学与技术（办学地点：甘肃兰,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-294c46ae6cb755d6,FIRSTDETAIL-3fddffa420d16af2
19,FCACT-e494173949f12bca,226-left,K486,西安邮电大学,K48603,26,邮政工程（办学地点：雁塔校区）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-188931cfb2409b2a,FIRSTDETAIL-1ee8dfd8190933ae
21,FCACT-647d01c0b8856a48,226-right,K488,西安医学院,K48804,04,英语（外语语种：英语：办学地点：未央校区）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-850aa6e9b4a3be8a,FIRSTDETAIL-ef35601f652ae549
21,FCACT-647d01c0b8856a48,226-right,K488,西安医学院,K48805,05,预防医学（办学地点：未央校区；学制：五年）,专业计划数；学费；再选科目,自动官网辅证任务,R0-PDFOCR与高校辅证存在冲突,H0-PDFOCR与高校辅证冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,true,false,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页记录、湖北官方侧记录、高校辅证记录和必要双人复核齐全后，才进入字段写回评估；仍不作为最终志愿依据。,M-dc273ca69fa31c06,FIRSTDETAIL-b5b65845644b6e4b
