第二轮候选ID,第二轮池,第二轮层级,建议梯度,是否进入家庭讨论,是否可作为定稿依据,入选理由,专项风险提示,下一步核验动作,体检和章程核验提示,重点观察标签,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,机械自动化机器人专业数,电子信息网络专业数,计算机AI软件专业数,农业动医兽医专业数,动物医学兽医专业数,护理助产专业数,工商旅游管理专业数,环境工程科学专业数,医技护理康复专业数,临床口腔中医暂缓专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,专业组出现ID,稳定基座专业组筛选ID
R2GROUP-f1457d51283e0913,专项,S1-医技/康复专项了解,稳妥观察,true,false,命中方向：计算机/AI/软件1个、电子/网络1个、机械/自动化/机器人2个、师范1个、医技/康复1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；组内有特殊限制待核；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,H225,武夷学院,H22502,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,1,0,1,1,2,1,1,0,0,0,0,0,1,0,0,4,11,V0-默认不进主方案风险,R1-P0整组先核,H2-历史最高线不高于等位分,2,-8,-9,148,right,1.08 蒸学（农林类；专业体检要求详见学校[M-f8446afdc85b9d0e]；2.09 食品质量与安全[M-ff809761fd63fc2e]；3.10 康复治疗学[M-7f7f8b5d3dc4158b]；4.11 机械设计制造及其自动化[M-8b431483378cc590]；5.12 电气工程及其自动化[M-7571b26a567b7be3]；6.13 电子信息工程[M-14408a4afe3eddfc]；7.14 高分千材料与工程（专业体检要求详见学校招生章程）[M-58368cff0171a7a5]；8.15 化学工程与工艺（专业体检要求详见学校招生章程）[M-4afd4522f9300198]；9.16 生物工程（专业体检要求详见学校招生章程）[M-5e24358ac825ebe1]；10.17 土木工程[M-47ae429e9e38408f]；11.18 人工智能H227泉州师范学院（公办）（福建）[M-d32a3a4600408472],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-0620ea4028f5d9bd,STABLEGROUP-67c4bcd4a51dea5e
R2GROUP-0c6405c0d5fd3927,专项,S1-医技/康复专项了解,稳妥观察,true,false,命中方向：医技/康复2个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,F298,长治医学院,F29803,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,V0-默认不进主方案风险,R1-P0整组先核,H2-历史最高线不高于等位分,2,-1,-14,108,left,1.03 生物医学工程[M-f5e12cafb813171e]；2.04 康复工程[M-683d80dd9d365acb]；3.05 食品营养与健康[M-de34c33a105ead6b]；4.06 药学貨高院校专业组及专业代号[M-e4fe70048750fbd3]；5.07 中药学[M-fb4f12d9b9b92905]；6.08 康复治疗学[M-9ada6e4ad73d2ac0],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-4050cae60c3808cc,STABLEGROUP-0de13d2c90d4da1e
R2GROUP-340eabc105b31f41,专项,S1-医技/康复专项了解,稳妥观察,true,false,命中方向：师范1个、医技/康复1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,F692,牡丹江医科大学,F69203,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,V0-默认不进主方案风险,R1-P0整组先核,H2-历史最高线不高于等位分,2,-1,-8,126,left,1.04 医学检验技术[M-b214ec4a3a583c92]；2.05 生物技术F693 哈尔滨师范大学（公办）（黑龙江）[M-6a41830496100c18],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-cea07874e638e447,STABLEGROUP-f8ac2c554bff3dd3
R2GROUP-aef94241f21e9e19,专项,S1-医技/康复专项了解,稳妥观察,true,false,命中方向：医技/康复1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,F390,内蒙古民族大学,F39004,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,V0-默认不进主方案风险,R2-P1页列集中核,H2-历史最高线不高于等位分,3,-6,-19,112,left,1.04 医学检验技术[M-9d59fd2363c93202],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-7cf419d39864bdac,STABLEGROUP-a69d4b932b1b927f
R2GROUP-0756107d62489181,专项,S1-医技/康复专项了解,稳妥观察,true,false,命中方向：医技/康复1个；历史线索：H2-历史最高线不高于等位分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,C138,湖北理工学院,C13806,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,V0-默认不进主方案风险,R1-P0整组先核,H2-历史最高线不高于等位分,3,-3,-12,79,left,1.32 监床医学（不招色盲、色弱、单色识别不全；学制：五年）[M-e0776f4fa897d71f]；2.33 医学检验技术（不招色盲、色弱、单色识别不全）KAZGA院校专业及专业代号[M-776e0de825e7fa66]；3.34 药学（不招色盲、色弱、单色识别不全）[M-56dac25e950124d8],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-da0d606ea3616eb1,STABLEGROUP-e79ad6bd773e31d1
R2GROUP-6afdc9b2cc366d47,专项,S1-医技/康复专项了解,历史待补,true,false,命中方向：计算机/AI/软件2个、电子/网络1个、机械/自动化/机器人1个、医技/康复1个；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,K152,西南科技大学,K15208,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,2,0,2,0,1,1,2,0,0,0,0,0,1,0,0,0,15,V0-默认不进主方案风险,R2-P1页列集中核,H0-无同代码历史线索,0,,,209,left,1.15 材料科学与工程（办学地点：青义校[M-b64bd9b031e01f45]；2.16 应用化学（办学地点：青义校区）[M-4fc49105125ae88b]；3.17 辐射防护与核安全（办学地点：青义校[M-f25ba8a57977cc90]；4.18 核化工与核燃料工程（办学地点：青义校区）[M-7a6a36e852eb1d0c]；5.19 测绘工程（办学地点：青义校区）[M-c45144d226f6dab7]；6.20 软件工程（办学地点：青义校区）[M-1191ca5f16d7fd92]；7.21 信息安全（办学地点：青义校区）[M-6f45c3cb141ad898]；8.22 食品科学与工程（办学地点：青义校[M-11843ae76d60d47f]；9.23 数学与应用数学（办学地点：青义校[M-294ffa043907e062]；10.24 应用物理学（办学地点：青义校区）[M-bcc129709ce80a8c]；11.25 光电信息科学与工程（办学地点：青义校区）[M-dc81796769a233bb]；12.26 土木工程（办学地点：青义校区）[M-0afb2b46c1955133]；13.27 电气工程及其自动化（办学地点：青义校区）[M-2e4944de364ad96f]；14.28 医学影像技术（办学地点：青义校区）[M-817c85307e887cb1]；15.29 生物医学工程（办学地点：青义校区）[M-baa92fc58d301ed8],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-5664b48e93bace95,STABLEGROUP-28b32bbc88f29b8f
R2GROUP-34901ccc2fbc6013,专项,S1-医技/康复专项了解,保底观察,true,false,命中方向：医技/康复1个；历史线索：H1-历史最高线低于等位分20分以上；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；组内有特殊限制待核；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,K257,贵州医科大学,K25707,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,V0-默认不进主方案风险,R1-P0整组先核,H1-历史最高线低于等位分20分以上,1,-45,-45,215,left,1.12 康复治疗学（色弱、色真、单色不能识别，该专业不予录取.第1、2年学费为4200元/年，第3、4年将前往澳大利亚麦考瑞大学就读，学费约49300澳元/年.后两年为全英文教学，请非英GK[M-7e4ac1db173b5c2c]；2.A0 ZA院校专业维及业代号唔语种考生谨镇填报该专业.英语单科成绩不低于英语单科满分的60%，请仔细阅读我校招生章程后谨慎报；办学地点：云漫湖校区）K258 遵义医科大学（公办）（贵州）[M-ac990cbd0e78ef0c],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-e80334e8efb1a0a5,STABLEGROUP-b54e70734c078e38
R2GROUP-ecb2005b1a17c738,专项,S1-医技/康复专项了解,冲刺观察,true,false,命中方向：计算机/AI/软件1个、师范1个、医技/康复2个；命中优先城市：武汉；历史线索：H4-历史最高线高于等位分16-30分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；录取线距离偏冲；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,C107,武汉体育学院,C10703,03,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,10,V0-默认不进主方案风险,R2-P1页列集中核,H4-历史最高线高于等位分16-30分,3,25,6,69,right,1.05 运动康复[M-540f83eda499babc]；2.06 应用心理学[M-ac43bdd444bf8962]；3.07 智能体育工程[M-74714e385b34e496]；4.08 教育技术学[M-673f4b6deb768a3a]；5.09 信息管理与信息系统[M-38cf0eae495a290e]；6.10 体育经济与管理[M-33d3912e00ef12f5]；7.1 新闻学[M-c99c1ddad4ec82ba]；8.12 中医骨伤科学（学制：五年）[M-7298107e7c5823f4]；9.13 康复治疗学[M-4e2be5d77225f310]；10.14 数据科学与大数据技术[M-857c30bc6020c054],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-afbb7a450a726ecb,STABLEGROUP-56f181edd897241f
R2GROUP-9ae967297d00003d,专项,S1-医技/康复专项了解,稳冲观察,true,false,命中方向：医技/康复2个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,K004,海南医科大学,K00406,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,V0-默认不进主方案风险,R1-P0整组先核,H3-历史最高线高于等位分15分内,2,14,-20,202,left,1.17 医学影像技术（中外合作办学）（不招色盲、色弱：外语单科成绩不低于 105分）[M-c98fbc3bfae3520d]；2.18 康复治疗学（中外合作办学）（不招色真、色弱；外语单科成绩不低于 105[M-e0a8137de3996d4b],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-72babc2cec2a94e2,STABLEGROUP-51fb6dfb29d6b7ac
R2GROUP-c9b1d7dbf16b653f,专项,S1-医技/康复专项了解,稳冲观察,true,false,命中方向：医技/康复1个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,F687,佳木斯大学,F68703,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,V0-默认不进主方案风险,R2-P1页列集中核,H3-历史最高线高于等位分15分内,3,6,4,125,left,1.03 康复治疗学[M-6b89b2f60b46b167],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-e78a6729a9fc420d,STABLEGROUP-f199d27792011188
R2GROUP-3ced64772c15331e,专项,S1-医技/康复专项了解,稳冲观察,true,false,命中方向：医技/康复1个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,A207,北方民族大学,A20707,07,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,V0-默认不进主方案风险,R2-P1页列集中核,H3-历史最高线高于等位分15分内,2,10,9,58,left,1.31 医学檢验技术（色弱、色盲不予录取，其他体检要求见学校 2026年章程）[M-33067007d1dc6d07]；2.32 医学影像技术（色弱、色盲不予录取，其他体检要求见学校 2026年章程）[M-2b93fd51f273ec6a]；3.33 眼视光学（色弱、色盲不予录取，其他体检要求见学校 2026年章程）[M-7ef653d7a6651651],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-729b008cd6e93724,STABLEGROUP-3b9250921828420a
R2GROUP-9ffbea227fbec37e,专项,S1-医技/康复专项了解,稳冲观察,true,false,命中方向：医技/康复1个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,K574,甘肃中医药大学,K57404,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,V0-默认不进主方案风险,R2-P1页列集中核,H3-历史最高线高于等位分15分内,3,11,2,229,left,1.10 康复治疗学（不招色盲色弱考生；办学地点：和平校区）[M-ae4fa7d51704c53f],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-db6ac62efb9c963e,STABLEGROUP-dbab2c0b1a898bd2
R2GROUP-b4b6df8deb92c5ca,专项,S1-医技/康复专项了解,稳冲观察,true,false,命中方向：医技/康复1个；历史线索：H3-历史最高线高于等位分15分内；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,H427,山东中医药大学,H42706,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,V0-默认不进主方案风险,R1-P0整组先核,H3-历史最高线高于等位分15分内,1,12,12,166,right,1.21 康复治疗学（中外合作办学）（与德国比勒费尔德中等企业应用技术大学合作，采用”4+0”培养模式，四年均山东中医药大学学习，部分课程采用名语教学，康复治疗学专业不招色盲、色弱考生；办学地点：长清校区）H428 济宁医学院（公办）（山东）[M-54c2e8001a91459c],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-c9c9d4a7138902b0,STABLEGROUP-5d5a769c28dc8238
R2GROUP-809229750ac58147,专项,S1-医技/康复专项了解,历史待补,true,false,命中方向：师范1个、医技/康复1个；命中优先城市：西安；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,T488,西安医学院,T48808,08,西安,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,V0-默认不进主方案风险,R1-P0整组先核,H0-无同代码历史线索,0,,,226,right,1.09 药学（中外合作办学）（办学地点：未夹[M-583de959ff90ade7]；2.10 康复治疗学（中外合作办学）（办学地点：未央校区）K489 陕西学前师范学院（公办）（陕西）[M-a9532ca85d0d9bb8],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-384f5ce657000141,STABLEGROUP-7ba7b38b6de081cd
R2GROUP-d97bd738cacae87c,专项,S1-医技/康复专项了解,冲刺观察,true,false,命中方向：医技/康复1个；命中优先城市：武汉；历史线索：H4-历史最高线高于等位分16-30分；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；录取线距离偏冲；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,C107,武汉体育学院,C10705,05,武汉,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,V0-默认不进主方案风险,R1-P0整组先核,H4-历史最高线高于等位分16-30分,1,18,18,69,right,1.15 康复治疗学（中外合作办学）C108 江汉大学（公办）（湖北）[M-42d3d828fe3b0cb5],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-7b8d9b906bd9f568,STABLEGROUP-2f568cc03f7a02b9
R2GROUP-561798fcf84aa2d4,专项,S1-医技/康复专项了解,历史待补,true,false,命中方向：医技/康复1个；命中优先城市：成都；历史线索：H0-无同代码历史线索；本轮口径：公办/普通学费线索；所有结论仍需原页、官方侧和章程核验,医技/康复需核体检、证书、实习和就业路径；缺同代码历史线索；专项方向只进入了解池，不与普通主线混排,回看第19期原页和完整专业组；核湖北官方系统/省招办计划；核高校招生章程、学费、计划数、选科、校区、语种/单科/体检限制和调剂范围。,体检摘要显示色觉正常、矫正视力4.80/4.80；医技、康复、农学等仍必须逐校核招生章程和体检指导意见。,,K170,成都体育学院,K17006,06,成都,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,默认不进主方案-组内存在医学/护理等排除专业,调剂风险线索-组内存在默认不能接受专业,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,V0-默认不进主方案风险,R1-P0整组先核,H0-无同代码历史线索,0,,,212,left,1.06 康复治疗学（办学地点：东部新区校資亮計孝院校製组及专业代号K172 成都大学（公办）（四川）[M-39980b50f0a4ffec],先核家庭底线风险，不把该组放入主方案。,仅在保底不足或家庭明确可接受时再核整组。,G-bde9c3ef3755f290,STABLEGROUP-8cfe8abd849d735d
