来源期号,来源PDF_SHA256,数据阶段,最终可用,核验状态,学校官方来源队列ID,院校代码,院校名称OCR,B0组数,B1组数,B0B1专业组数,逐专业核验任务数,涉及专业组代码,涉及PDF页码,官网来源状态,官网来源优先级,官网URL,本地留存路径,本地留存状态,是否可核湖北2026,可核字段,局限性,官方源缺口,补源优先级,高校官网计划检索式,招生章程检索式,下一步
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-5e90ddcc5f88086c,H002,浙江工业大学,0,1,1,6,H00204,137,needs_official_plan_source_search,待补源,,,pending_local_retention,未见,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,S3-B1单组学校按页码推进,浙江工业大学 2026 湖北 招生计划 本科 专业组 招生网,浙江工业大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-a2ea2dbe0c4c3351,H026,浙江传媒学院,0,1,1,7,H02606,141,needs_official_plan_source_search,待补源,,,pending_local_retention,未见,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,S3-B1单组学校按页码推进,浙江传媒学院 2026 湖北 招生计划 本科 专业组 招生网,浙江传媒学院 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-5d16c3a7f6fe2434,H439,山东财经大学,0,1,1,5,H43904,168,has_partial_source_needs_followup,中,https://zhaosheng.sdufe.edu.cn/zsw/zsjh.html,data/external/issue19-b0-b1-official-sources/sdufe-zsjh-entry.html,has_local_retention_metadata,可能,官方招生计划动态入口；页面包含计划查询线索,命令行未成功取得湖北2026物理类返回结果，尚不能核专业计划数和专业组字段,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S3-B1单组学校按页码推进,山东财经大学 2026 湖北 招生计划 本科 专业组 招生网,山东财经大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-eabc407838923d71,H450,山东工商学院,0,1,1,16,H45004,169,has_partial_source_needs_followup,高,https://zs.sdtbu.edu.cn/info/2018/6284.htm,data/external/issue19-b0-b1-official-sources/sdtbu-2026-province-major-plan.pdf,has_local_retention_metadata,部分,2026分省分专业计划PDF；专业名称；湖北计划数；学费等附件字段,PDF附件未直接结构化到湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S3-B1单组学校按页码推进,山东工商学院 2026 湖北 招生计划 本科 专业组 招生网,山东工商学院 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-4fc5eeacb8538e85,H775,韶关学院,0,1,1,1,H77505,187,needs_official_plan_source_search,待补源,,,pending_local_retention,未见,,,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,S3-B1单组学校按页码推进,韶关学院 2026 湖北 招生计划 本科 专业组 招生网,韶关学院 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-3e072bbe7bd8ada5,H945,南宁学院,0,1,1,5,H94505,199,has_partial_source_needs_followup,高,https://zs.unn.edu.cn/bkzn/zsjh.htm,data/external/issue19-b0-b1-official-sources/unn-2026-undergraduate-plan-page.html,has_local_retention_metadata,部分,湖北2026普通本科批物理类专业名称；计划数；学费；选科；学院；页面专业组编号,页面专业组编号不是湖北志愿系统院校专业组代码，且未给专业代号和湖北专业组边界,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S3-B1单组学校按页码推进,南宁学院 2026 湖北 招生计划 本科 专业组 招生网,南宁学院 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-6dcef5bef53d73ae,K151,成都理工大学,1,1,2,4,K15123；K15114,208；208；209,has_partial_source_needs_followup,中,https://zsdata.cdut.edu.cn/zsdata/lqxx/,未留存,pending_local_retention,可能,官方招生信息动态查询入口；省份/年份/科类筛选,页面需动态查询，本地尚未保存湖北2026物理类结果,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S0-B0历史候选学校优先补源,成都理工大学 2026 湖北 招生计划 本科 专业组 招生网,成都理工大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-b1754cf2497371da,K153,成都信息工程大学,0,1,1,22,K15306,209,has_partial_source_needs_followup,高,https://zs.cuit.edu.cn/info/1096/1688.htm,data/external/issue19-b0-b1-official-sources/cuit-2026-undergraduate-plan.html,has_local_retention_metadata,部分,湖北2026分专业计划；专业代码；湖北计划数；学费；学院；校区,未直接给出湖北院校专业组代码和专业代号，需与第19期原页及湖北官方系统对齐,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S3-B1单组学校按页码推进,成都信息工程大学 2026 湖北 招生计划 本科 专业组 招生网,成都信息工程大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-b71a7435d076fb04,K178,成都医学院,2,0,2,2,K17801；K17802,212,charter_or_rules_only_no_plan,中,https://zs.cmc.edu.cn/page.jsp?urltype=news.NewsContentUrl&wbnewsid=1392&wbtreeid=1004,未留存,pending_local_retention,否,招生章程；医学限制；录取规则,不能核专业组计划数,当前只可辅助核招生章程或规则，不能核湖北2026专业组计划,S0-B0历史候选学校优先补源,成都医学院 2026 湖北 招生计划 本科 专业组 招生网,成都医学院 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-3ce0eb918487a15d,K179,成都师范学院,1,1,2,2,K17903；K17905,212,needs_official_plan_source_search,待继续核验,,未留存,pending_local_retention,未见,暂无,未定位官方2026湖北计划页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,S0-B0历史候选学校优先补源,成都师范学院 2026 湖北 招生计划 本科 专业组 招生网,成都师范学院 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-c8ceab2ba455c40b,K345,云南大学,0,1,1,11,K34509,217,has_partial_source_needs_followup,中,https://zsfz.ynu.edu.cn/zsw/zsjh.html,data/external/issue19-b0-b1-official-sources/ynu-zsjh-entry.html,has_local_retention_metadata,可能,官方招生计划动态入口；参数包含省市、年份、类型、科类；页面模板含专业名称、学费、人数、专业备注,接口端点已定位但命令行请求返回禁止访问，尚未留存湖北2026物理类结果，不能核计划字段,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S3-B1单组学校按页码推进,云南大学 2026 湖北 招生计划 本科 专业组 招生网,云南大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-b5ed60f24b589276,K465,西安建筑科技大学,1,0,1,1,K46505,223,has_partial_source_needs_followup,中,https://zhaosheng.xauat.edu.cn/,未留存,pending_local_retention,部分,招生计划入口；招生章程入口；历年分数入口,首页有招生计划入口但本地未留存湖北2026查询结果,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S0-B0历史候选学校优先补源,西安建筑科技大学 2026 湖北 招生计划 本科 专业组 招生网,西安建筑科技大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-c8916c0748ffb71b,K485,西安财经大学,1,0,1,1,K48504,226,has_partial_source_needs_followup,高,https://zhaosheng.xaufe.edu.cn/zsdata/lqxx/,data/external/issue19-b0-b1-official-sources/xaufe-2026-hubei-physics-normal.json,has_local_retention_metadata,部分,湖北2026理工/物理类普通类专业名称；计划数；专业备注,专业组、专业代号、学费、选科、校区字段为空或不足，不能单独核专业组边界,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S0-B0历史候选学校优先补源,西安财经大学 2026 湖北 招生计划 本科 专业组 招生网,西安财经大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-ee88a8061ae52bb4,K486,西安邮电大学,0,1,1,19,K48603,226,has_reusable_2026_hubei_plan_source,高,https://zsdata.xupt.edu.cn/zsdata/lqxx/,data/external/issue19-b0-b1-official-sources/xupt-2026-hubei-physics-normal.json,has_local_retention_metadata,是,湖北2026物理类普通类专业组；专业名称；专业代号；计划数；选科；类别,动态接口专业组号需与第19期湖北院校专业组代码映射核对，学费和校区还需第19期或章程补齐,需逐字段比对第19期、湖北官方系统和高校官网字段,S1-已有官网计划源先做字段对照,西安邮电大学 2026 湖北 招生计划 本科 专业组 招生网,西安邮电大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-998a4a5fd0965005,K487,西安航空学院,2,0,2,3,K48703；K48704,226,needs_official_plan_source_search,中,https://zb.xaau.edu.cn/,未留存,pending_local_retention,未见,官方招生入口；章程/合作办学线索,未定位湖北2026专页,未定位可复用的高校官网湖北2026普通本科物理招生计划，需要优先补源,S0-B0历史候选学校优先补源,西安航空学院 2026 湖北 招生计划 本科 专业组 招生网,西安航空学院 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-b01891c25796b9cb,K488,西安医学院,2,0,2,2,K48804；K48805,226,has_partial_source_needs_followup,高,http://luqu.xiyi.edu.cn/zsdata/lqxx/,data/external/issue19-b0-b1-official-sources/xiyi-2026-hubei-physics-normal.json,has_local_retention_metadata,部分,湖北2026物理类普通类专业名称；专业代码；计划数；学制；学费；校区；选科要求；专业备注,旧版接口可用但未直接给出湖北院校专业组代码和专业代号，且医学/ICC费用风险需章程核实,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S0-B0历史候选学校优先补源,西安医学院 2026 湖北 招生计划 本科 专业组 招生网,西安医学院 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-5fd9d8ef54a1ad47,K533,西安工商学院,0,1,1,5,K53303,227,charter_or_rules_only_no_plan,中,https://zs.bxait.cn/zxyd/webinfo/2026/06/1783995515234374.htm,data/external/issue19-b0-b1-official-sources/bxait-2026-guide.html,has_local_retention_metadata,否,2026报考指南/招生简章线索,未见湖北2026物理类分省分专业计划，不能核专业组、专业计划数、选科、校区等计划字段,当前只可辅助核招生章程或规则，不能核湖北2026专业组计划,S3-B1单组学校按页码推进,西安工商学院 2026 湖北 招生计划 本科 专业组 招生网,西安工商学院 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-ee7a1a91415a59d0,K753,喀什大学,0,1,1,8,K75307,235,has_partial_source_needs_followup,高,https://xgb.ksu.edu.cn/info/1511/9361.htm,data/external/issue19-b0-b1-official-sources/ksu-2026-undergraduate-plan.xlsx,has_local_retention_metadata,部分,湖北分专业计划数；专业名称；学院,附件按省份列计划，未拆湖北物理/历史/艺术类别，未给学费、学制、选科、校区、专业代号、院校专业组边界,已有部分官网线索，但仍需补齐湖北普通本科物理专业组或逐专业字段,S3-B1单组学校按页码推进,喀什大学 2026 湖北 招生计划 本科 专业组 招生网,喀什大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_candidate_v3_b0_b1_official_crosscheck_queue,false,pending_school_official_source_review,SSQ-bea54902f6629815,X502,新疆天山职业技术大学,0,1,1,5,X50202,240,charter_or_rules_only_no_plan,中,https://www.xjtsxy.cn/news_view/64/1263,data/external/issue19-b0-b1-official-sources/xjtsxy-2026-charter.html,has_local_retention_metadata,否,招生章程；录取规则；调剂规则；体检限制；校区地址,章程明确分省分专业计划和选考要求由省级招考部门公布，官网未见湖北2026物理类计划表，不能核计划数和专业组,当前只可辅助核招生章程或规则，不能核湖北2026专业组计划,S3-B1单组学校按页码推进,新疆天山职业技术大学 2026 湖北 招生计划 本科 专业组 招生网,新疆天山职业技术大学 2026 普通本科 招生章程,优先找高校官网湖北2026普通本科物理招生计划；若没有固定计划页，则至少补招生章程，并回到湖北官方系统或省招办计划兜底。
