G0冲突字段补证缺口页列通道汇总ID,来源G0冲突字段补证缺口任务公开账本,来源G0冲突字段补证闭环结果页列汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,是否允许进入私有写回评审,页列通道汇总序号,页码版面键,来源页码,版面列,证据通道序号,证据通道,证据通道类型,证据通道执行层级,缺口任务数,涉及字段事实数,涉及任务数,涉及专业行数,涉及院校代码数,字段名分布,可并行执行任务数,待前置闭环任务数,当前通道状态分布,当前阻断桶分布,补证执行优先级分布,补证执行泳道分布,缺口任务集合SHA256,闭环结果集合SHA256,私有页列CSV证据编号,私有页列CSV_SHA256,私有核页HTML证据编号,私有核页HTML_SHA256,页列通道下一步动作,公开安全策略
G0FIELDGAPPAGE-9757ab74333675f0,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,16,037-left,37,left,08,写回评审,字段写回评审,E6-写回评审,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,0,3,blocked_until_required_evidence_closed:3,G7-写回评审建议未填写:3,P0-含双人复核缺口页列:3,R0-冲突字段双人核页优先:3,b48e9aef8f85b4322d9462284a338e0207ed6d729d940bdad75ab6d4449e67b2,c6c882943dd83c53f22d7c4a9c500ed1d3b29d7c2f69f1de90daa511e0b38b02,G0FIELD-PRIVATE-PAGE-037-left,441f20bbe84f47039486b22969ee917e0eb804a2b6708818eb83462a3f18c21f,FIRST-CLOSURE-REVIEW-HTML-037-left,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,字段确认完成后进入私有写回评审；通过评审前仍不得写回或推荐。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-2a7da5d2594fc36f,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,17,056-left,56,left,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,3,0,pending_pdf_page_review:3,G0-缺PDF原页记录:3,P2-常规冲突字段页列:3,R1-冲突字段单人初核后抽检复核:3,654c39a910a073a118d5b2f94b3594e795c84c0c39233a33d5dde186d1f373a3,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,在本地未公开页列材料中补齐PDF原页记录；未补齐前不得写回字段事实。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-1187aa448b46ec89,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,18,056-left,56,left,02,湖北官方侧记录,湖北官方或省招办计划核验,E1-湖北官方侧核验,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,3,0,pending_hubei_official_plan_review:3,G1-缺湖北官方记录:3,P2-常规冲突字段页列:3,R1-冲突字段单人初核后抽检复核:3,0b1ee2eae6fe6aa3d79bf14ce9056b76a3b3cfd0ddd4e174007596f5c8ae4dd4,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,补齐湖北官方系统或省招办计划侧记录；高校官网不得替代湖北官方计划。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-3805ba1374d96101,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,19,056-left,56,left,03,高校辅证人工核验,高校官网辅证人工核验,E2-高校辅证人工核验,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,3,0,school_source_pending:1；school_source_seed_present_pending_manual_review:2,G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:2,P2-常规冲突字段页列:3,R1-冲突字段单人初核后抽检复核:3,2df2deb58fb69221b4efcda186088082eb72383201c65a35a53aa47fb6c3eefe,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,把高校侧线索人工核验为证据记录；仅作double check，不替代湖北官方计划。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-3aaaa2db59c282b8,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,20,056-left,56,left,04,冲突处理,冲突解释和处理,E3-冲突处理,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,0,3,pending_conflict_resolution:3,G3-冲突未处理:3,P2-常规冲突字段页列:3,R1-冲突字段单人初核后抽检复核:3,73dc23ef0b9b6b8fe2c94440ee78e09015f1297725646239455a1e9ed4c0e476,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,在PDF原页、湖北官方侧和高校辅证记录齐备后处理冲突方向。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-4850e2cf016fd8c4,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,21,056-left,56,left,06,三方一致性闭环,PDF/湖北官方/高校辅证三方闭环,E4-三方一致性闭环,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,0,3,blocked_missing_pdf:3,G5-三方一致性未闭环:3,P2-常规冲突字段页列:3,R1-冲突字段单人初核后抽检复核:3,cbc9db3715ec11ca14b4302c1d0a612442aacc249d735b8d5bf3ac7f0d97e8eb,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后再做三方一致性闭环。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-7cbbc4db3504e05b,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,22,056-left,56,left,07,字段确认,字段确认,E5-字段确认,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,0,3,blocked:3,G6-字段确认未填写:3,P2-常规冲突字段页列:3,R1-冲突字段单人初核后抽检复核:3,7690351eb11240b68c6a53f8950074c844ee871e82e300117ef2ace1c46e909e,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,三方闭环后在私有材料中填写字段确认；公开层仍不保存字段记录。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-e7ac40edd93bf971,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,23,056-left,56,left,08,写回评审,字段写回评审,E6-写回评审,3,3,1,1,1,专业计划数:1；再选科目:1；学费:1,0,3,blocked_until_required_evidence_closed:3,G7-写回评审建议未填写:3,P2-常规冲突字段页列:3,R1-冲突字段单人初核后抽检复核:3,f5441d3c7c1f85c9cf7a7fc3d315af9a7f4dc80f9351269fd1707ed0ff579fa2,c2e116176ace850cde17fe894c6df3a1be65f46b39caf6d9218b0f2ff525f340,G0FIELD-PRIVATE-PAGE-056-left,d7a486919794845feccc46732cb56040b3db1fbccb53fd870dbb1f49ddcd4114,FIRST-CLOSURE-REVIEW-HTML-056-left,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,字段确认完成后进入私有写回评审；通过评审前仍不得写回或推荐。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-1661034d497fe999,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,24,135-left,135,left,01,PDF原页记录,PDF原页核页,E0-PDF原页核页先行,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,21,0,pending_pdf_page_review:21,G0-缺PDF原页记录:21,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,1e7f896ae15a2261c5ffbfbadb2b05a434c873cd9cdad86f8b6cda28b11a6a7b,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,在本地未公开页列材料中补齐PDF原页记录；未补齐前不得写回字段事实。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-7441c8a50af7e4da,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,25,135-left,135,left,02,湖北官方侧记录,湖北官方或省招办计划核验,E1-湖北官方侧核验,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,21,0,pending_hubei_official_plan_review:21,G1-缺湖北官方记录:21,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,681ce69fc728936b515ec7c51270f00e9610ffa9e653043831f5cd3f991a044d,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,补齐湖北官方系统或省招办计划侧记录；高校官网不得替代湖北官方计划。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-d6cbab38818750f1,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,26,135-left,135,left,03,高校辅证人工核验,高校官网辅证人工核验,E2-高校辅证人工核验,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,21,0,school_source_pending:1；school_source_seed_present_pending_manual_review:20,G2a-缺高校辅证线索:1；G2b-高校辅证种子待人工核验:20,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,b4a6613aa2e50c2b8b658d6241dd1ece6101385b3890449f5f8de51b6533ab96,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,把高校侧线索人工核验为证据记录；仅作double check，不替代湖北官方计划。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-0671c0a9b9411311,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,27,135-left,135,left,04,冲突处理,冲突解释和处理,E3-冲突处理,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,0,21,pending_conflict_resolution:21,G3-冲突未处理:21,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,d2f1f1e77aad56f0404157db7baa070552994f6c4940c374253ee2275f59fa88,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,在PDF原页、湖北官方侧和高校辅证记录齐备后处理冲突方向。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-8a108a97c8ea05ef,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,28,135-left,135,left,05,双人复核,双人复核,E3-双人复核,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,21,0,pending_double_review:21,G4-双人复核未完成:21,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,6f26af18d5c065fe4ff54dedd906f3467250018b7b267b03ff52d322281ffb87,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,需要双人复核的字段先完成A/B复核和一致性结论；未完成前不得写回。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-5bd80002e645c6c1,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,29,135-left,135,left,06,三方一致性闭环,PDF/湖北官方/高校辅证三方闭环,E4-三方一致性闭环,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,0,21,blocked_missing_pdf:21,G5-三方一致性未闭环:21,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,1e16d8b31f68439803f6d41c98c528680d128a38df89a2d5cec03ac0b52ad4a1,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,等待PDF原页、湖北官方侧、高校辅证和必要双人复核后再做三方一致性闭环。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
G0FIELDGAPPAGE-8bcdb39e27f60720,data/working/issue19-first-closure-g0-conflict-field-evidence-gap-tasks-v1-public-ledger.csv,data/working/issue19-first-closure-g0-conflict-field-evidence-closure-result-v1-page-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_first_closure_g0_conflict_field_evidence_gap_tasks_v1,G0冲突字段补证缺口页列通道汇总,页列×证据缺口通道,false,false,false,false,false,false,false,false,false,30,135-left,135,left,07,字段确认,字段确认,E5-字段确认,21,21,10,10,1,专业计划数:10；再选科目:1；学费:10,0,21,blocked:21,G6-字段确认未填写:21,P0-含双人复核缺口页列:21,R0-冲突字段双人核页优先:21,f52f78c88dfc2a1431f0ea82301a01c5ffee43983bed0b0d5f047e3fc5d5f254,75638caaf9040cf18254fda74d90f7843ad3fa97a146855888c85e5572277935,G0FIELD-PRIVATE-PAGE-135-left,fa4d3b444c96256099092de2608f255bb2fa11de39fcb413a7c9c4a78489ce65,FIRST-CLOSURE-REVIEW-HTML-135-left,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,三方闭环后在私有材料中填写字段确认；公开层仍不保存字段记录。,公开层只保存页列通道状态、计数、证据编号和SHA；不公开具体核验内容、识别内容、字段记录、人工内容或本地位置。
