官方查询键碰撞ID,来源湖北官方系统逐专业核验包,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,碰撞键,碰撞键内行数,碰撞键内专业组出现ID数,碰撞键内页码数,专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,平台查询院校代码,平台查询专业组代码,平台查询专业代号,来源页码,专业组内专业序号,专业代号OCR,专业名称及备注OCR短摘,OCR再选科目,OCR专业计划数,OCR学费,平台匹配状态,平台字段核验状态,官方系统证据编号,字段差异集合,消歧要求,不得进入原因,下一步
OFFICIALKEYCOLLISION-ad34fe8553a6a2c1,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A073|A07303|19,2,1,1,M-6a6a5295cd392395,G-c710ed5c0bd78ef2,A073,东北大学,A07303,A073,A07303,19,22,13,19,期資高院校专业组及专业代号,,,,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-3957daa45f559017,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A073|A07303|19,2,1,1,M-77c78664c40e644e,G-c710ed5c0bd78ef2,A073,东北大学,A07303,A073,A07303,19,22,14,19,物联网工程（入学后部分课程采用英文教材和英语授课，外语语种为非英语的考生请慎重报考）,要求,,6240,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-22f993f342f13e0e,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|06,2,1,1,M-285742a7c861e62a,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,06,29,3,06,工科试验班（智慧能源与电气工程；电气工程及其自动化：电动载运工程；新能源科学与工程：能源与动力工程）,,15,6380,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-4dea5c0713d91821,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|06,2,1,1,M-1c230477538de5df,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,06,29,9,06,航空航天类（长空创新班）（包含专业：𢜒保障工程、飞行器动办工程、器制造工程、航空航天工程；办学地点：将军路校区）◎A院校专业组及专业代号,,2,6380,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-20ed8e9971dba0fe,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|07,2,1,2,M-6b9ad306855ef99c,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,07,29,4,07,电子億息类（信息工程；电子科学与技,,15,6380,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-c824a416fed673c2,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|07,2,1,2,M-71021c6e4945c552,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,07,30,10,07,工程力学（钱伟长拔尖创新班）（办学地点：将军路校区）,,2,6380,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-218d529e2d6916b4,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|08,2,1,2,M-c8f6bce0e943ceb4,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,08,29,5,08,计算机类（计算机科学与技术；人工智能：软件工程；网络空间安全）,,13,6380,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-4b30ca9d2736e4e8,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A109|A10903|08,2,1,2,M-5f6290ed3ec7ec4d,G-e18d81ab852f3014,A109,东南大学,A10903,A109,A10903,08,30,11,08,机器人王程（拔尖创新班）（办学地点：将军路校区）,,2,5800,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-b10721f890714153,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A141|A14115|14,2,1,2,M-cc862aeef9ef262d,G-844baa52dabe95f7,A141,武汉大学,A14115,A141,A14115,14,39,5,14,光电信息科学与工程（光电融合芯片启明实验班）,,84,5850|,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-7e49ee9c47666892,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A141|A14115|14,2,1,2,M-f24599c0de17eeb6,G-844baa52dabe95f7,A141,武汉大学,A14115,A141,A14115,14,40,34,14,软件工程（AI 大模型试验班：面向人工智能大模型原理与应用前沿，校企,,30,5850,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-813b3c6a366f8281,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A169|A16907|1,2,1,1,M-7733fe508aa880d6,G-1045c0ec4b1fad21,A169,重庆大学,A16907,A169,A16907,1,48,2,1,年），国内学习阶段学费标准为75000元/年_国外学习阶段按美国辛辛那提大学标准缴纳学费：办学地点：科学城校区虎溪校园；学制：五年）,,,,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-11831c2048df5a5a,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A169|A16907|1,2,1,1,M-686f28f61698e784,G-1045c0ec4b1fad21,A169,重庆大学,A16907,A169,A16907,1,48,4,1,年），国内学习助段学费标準为75000元/年，国外学习阶段按美国辛辛那提大学标准缴纳学费：办学地点：科学城校区虎溪校园；学制：五年）,,,,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-0462573ad64dd29d,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A181|A18109|50,2,1,1,M-2a07c351f59af272,G-925de249f7903dd9,A181,西南民族大学,A18109,A181,A18109,50,52,9,50,人工智能（办学地点：航空港校区）,,,6240,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-c533f7eca378d6a5,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A181|A18109|50,2,1,1,M-be75b8a7c674206a,G-925de249f7903dd9,A181,西南民族大学,A18109,A181,A18109,50,52,15,50,裂物科学（衣林类：办华地点：武候校,,,5760,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-35b97be86c427d2f,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A349|A34904|05,2,1,2,M-f10b7b338a520238,G-e5c7e2d4fc7b5269,A349,合肥工业大学（宜城校区）,A34904,A349,A34904,05,62,10,05,俄语（石油与天然气工程）院校专业組及专业代号,,,4900,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-54e742b57330d106,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A349|A34904|05,2,1,2,M-c85613f5a51d6f64,G-e5c7e2d4fc7b5269,A349,合肥工业大学（宜城校区）,A34904,A349,A34904,05,63,27,05,组,,3,5100,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-324b989b97760023,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A349|A34904|06,2,1,2,M-41c62fa65bf7956f,G-e5c7e2d4fc7b5269,A349,合肥工业大学（宜城校区）,A34904,A349,A34904,06,62,1,06,过程装备与控制工程（有体检要求，具体参见学校章程）,,,5500,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-b5aff026d8edb513,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A349|A34904|06,2,1,2,M-91d3d62c50cde5ea,G-e5c7e2d4fc7b5269,A349,合肥工业大学（宜城校区）,A34904,A349,A34904,06,63,11,06,会计学,耍求,2,4000,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-ace4af5755cffda9,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A349|A34904|07,2,1,2,M-51ce2639c5b192f7,G-e5c7e2d4fc7b5269,A349,合肥工业大学（宜城校区）,A34904,A349,A34904,07,62,2,07,新能源材料与器件,,,6050,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-b006ccf918673bb0,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A349|A34904|07,2,1,2,M-544589a5558dcfe6,G-e5c7e2d4fc7b5269,A349,合肥工业大学（宜城校区）,A34904,A349,A34904,07,63,12,07,大数据管理与应用A35303 中国石油大学（北京）克拉玛依校区第化学,,3,4000,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-02375965da71cc4e,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A349|A34904|08,2,1,2,M-be4a165b5e26d666,G-e5c7e2d4fc7b5269,A349,合肥工业大学（宜城校区）,A34904,A349,A34904,08,62,3,08,电气工程与智能控制,,,6050,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-f6ce430cfe55ca59,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A349|A34904|08,2,1,2,M-88ac5423ac513f15,G-e5c7e2d4fc7b5269,A349,合肥工业大学（宜城校区）,A34904,A349,A34904,08,63,14,08,资源勘查工程,,6,5100,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
OFFICIALKEYCOLLISION-f959956d148fa087,data/working/issue19-hubei-official-plan-major-crosscheck-packets.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_hubei_official_query_key_collision_ledger,逐专业招生明细×官方查询键碰撞,false,false,A349|A34904|09,2,1,2,M-c57eba54c511b0c1,G-e5c7e2d4fc7b5269,A349,合肥工业大学（宜城校区）,A34904,A349,A34904,09,62,4,09,智能科学与技术（有体检要求，具体参,,,6050,pending_hubei_official_platform_query,pending_hubei_official_plan_review,,,官方系统回填必须同时使用专业行ID、专业组出现ID、来源页码、专业组内专业序号和官方返回行证据；不得只按院校代码+专业组代码+专业代号合并。,官方查询键不唯一，未消歧前不得写入最终事实或志愿排序。,回看PDF原页位置，并在湖北官方系统或省招办计划中逐行截图/导出证据后按专业行ID回填。
